,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
0,Total,86512,67964,67964,78099,47655,47655,Total,2020
1,18 to 24 years,9496,24174,24174,9233,19717,19717,Total,2020
2,25 to 34 years,19989,54729,54729,17717,45191,45191,Total,2020
3,35 to 44 years,18708,78476,78476,16128,55671,55671,Total,2020
4,45 to 54 years,16786,84981,84981,15586,57010,57010,Total,2020
5,55 to 64 years,14704,79957,79957,13807,52743,52743,Total,2020
6,65 years and over,6830,71150,71150,5628,39886,39886,Total,2020
11,Total,87768,67784,68630,79448,48336,48940,Total,2019
12,18 to 24 years,9867,23876,24174,9490,21036,21298,Total,2019
13,25 to 34 years,20112,54158,54834,17904,44230,44783,Total,2019
14,35 to 44 years,18560,77969,78943,16289,56483,57188,Total,2019
15,45 to 54 years,17043,84996,86057,16023,59238,59977,Total,2019
16,55 to 64 years,15116,83316,84356,14083,52906,53566,Total,2019
17,65 years and over,7071,66389,67218,5658,41423,41940,Total,2019
22,Total,86913,65058,67064,78266,45136,46527,Total,2018
23,18 to 24 years,9677,24283,25032,9729,19181,19772,Total,2018
24,25 to 34 years,20183,54108,55776,17449,41532,42812,Total,2018
25,35 to 44 years,18254,73015,75266,15765,54136,55805,Total,2018
26,45 to 54 years,17392,81305,83811,15878,54839,56530,Total,2018
27,55 to 64 years,14734,79411,81859,13705,50026,51568,Total,2018
28,65 years and over,6673,61509,63405,5739,36846,37982,Total,2018
33,Total,86825,62357,65846,77083,43601,46041,Total,2017
34,18 to 24 years,9975,22266,23512,9479,18813,19866,Total,2017
35,25 to 34 years,19896,51281,54150,17146,40070,42312,Total,2017
36,35 to 44 years,18175,72246,76289,15600,51029,53884,Total,2017
37,45 to 54 years,17511,75413,79633,16053,51356,54230,Total,2017
38,55 to 64 years,14710,76055,80311,13616,49966,52762,Total,2017
39,65 years and over,6559,63940,67518,5189,37521,39621,Total,2017
44,Total,86872,62662,66168,77000,43240,45660,Total,2017
45,18 to 24 years,10050,23493,24808,9497,17426,18401,Total,2017
46,25 to 34 years,19848,52684,55632,17136,40341,42598,Total,2017
47,35 to 44 years,18142,71585,75591,15585,51112,53972,Total,2017
48,45 to 54 years,17516,75983,80235,16033,50793,53635,Total,2017
49,55 to 64 years,14726,75780,80020,13602,49370,52133,Total,2017
50,65 years and over,6589,63158,66692,5147,36971,39040,Total,2017
55,Total,85718,61232,66049,76501,41429,44688,Total,2016
56,18 to 24 years,9950,23004,24814,9558,16871,18198,Total,2016
57,25 to 34 years,19515,50081,54021,17109,37707,40673,Total,2016
58,35 to 44 years,17763,71506,77131,15315,48247,52042,Total,2016
59,45 to 54 years,17702,76203,82197,16041,49400,53286,Total,2016
60,55 to 64 years,14443,71814,77463,13423,49252,53126,Total,2016
61,65 years and over,6346,60852,65639,5054,33734,36388,Total,2016
66,Total,85263,58944,64401,75811,39929,43625,Total,2015
67,18 to 24 years,10000,19993,21844,9441,15927,17401,Total,2015
68,25 to 34 years,19167,49114,53661,16577,37946,41459,Total,2015
69,35 to 44 years,17610,68667,75024,15295,45633,49858,Total,2015
70,45 to 54 years,17957,72805,79545,16134,48032,52479,Total,2015
71,55 to 64 years,14489,70128,76620,13468,45253,49442,Total,2015
72,65 years and over,6039,58236,63627,4896,33760,36885,Total,2015
77,Total,83403,56701,62057,74598,37538,41084,Total,2014
78,18 to 24 years,9659,20700,22655,9575,15021,16440,Total,2014
79,25 to 34 years,18676,46348,50726,15911,35061,38373,Total,2014
80,35 to 44 years,17465,64808,70930,15240,44310,48495,Total,2014
81,45 to 54 years,17827,71724,78499,16177,44105,48271,Total,2014
82,55 to 64 years,14128,66258,72517,12965,43259,47345,Total,2014
83,65 years and over,5647,56108,61408,4729,31493,34468,Total,2014
88,Total,82856,55619,61904,73842,36934,41107,Total,2013
89,18 to 24 years,10099,21314,23722,9340,15610,17374,Total,2013
90,25 to 34 years,18368,45686,50848,15586,33534,37323,Total,2013
91,35 to 44 years,17650,62178,69204,15309,40590,45176,Total,2013
92,45 to 54 years,17720,69087,76893,16399,43284,48175,Total,2013
93,55 to 64 years,13543,68479,76217,12858,44528,49559,Total,2013
94,65 years and over,5477,55672,61963,4349,35653,39682,Total,2013
99,Total,82577,54658,60834,73455,36664,40807,Total,2013
100,18 to 24 years,10015,19236,21410,9376,14796,16468,Total,2013
101,25 to 34 years,18347,44071,49051,15720,34351,38232,Total,2013
102,35 to 44 years,17236,63040,70163,14990,41668,46376,Total,2013
103,45 to 54 years,17950,68060,75750,16302,43383,48285,Total,2013
104,55 to 64 years,13600,67080,74660,12647,42855,47697,Total,2013
105,65 years and over,5429,53732,59803,4420,31816,35411,Total,2013
110,Total,81979,54118,61125,73169,36052,40720,Total,2012
111,18 to 24 years,9851,17614,19895,9367,14002,15815,Total,2012
112,25 to 34 years,18069,43756,49422,15595,33342,37659,Total,2012
113,35 to 44 years,17438,61926,69944,14937,42071,47518,Total,2012
114,45 to 54 years,18010,67104,75793,16490,42309,47787,Total,2012
115,55 to 64 years,13347,66389,74985,12613,43066,48642,Total,2012
116,65 years and over,5265,56593,63921,4168,28194,31845,Total,2012
121,Total,80502,53273,61445,72209,35205,40606,Total,2011
122,18 to 24 years,9648,16722,19287,9307,13245,15277,Total,2011
123,25 to 34 years,17623,42368,48867,15219,33134,38217,Total,2011
124,35 to 44 years,17335,60537,69824,15118,40644,46879,Total,2011
125,45 to 54 years,18113,66597,76813,16574,41215,47538,Total,2011
126,55 to 64 years,12875,67624,77998,12251,41772,48180,Total,2011
127,65 years and over,4908,51796,59742,3740,28147,32465,Total,2011
132,Total,79949,50855,60505,71799,34160,40642,Total,2010
133,18 to 24 years,9457,16600,19750,8927,13167,15666,Total,2010
134,25 to 34 years,17502,40548,48243,15161,31892,37944,Total,2010
135,35 to 44 years,17377,58376,69454,15192,39862,47426,Total,2010
136,45 to 54 years,18133,62982,74934,16846,40220,47852,Total,2010
137,55 to 64 years,12958,63959,76096,12053,38633,45964,Total,2010
138,65 years and over,4522,47306,56283,3620,28400,33789,Total,2010
143,Total,80800,50186,60694,71907,33797,40874,Total,2009
144,18 to 24 years,9805,16791,20307,9161,13153,15907,Total,2009
145,25 to 34 years,18138,40575,49071,15364,31895,38574,Total,2009
146,35 to 44 years,17891,58604,70875,15256,38511,46575,Total,2009
147,45 to 54 years,18526,62787,75934,17188,40281,48715,Total,2009
148,55 to 64 years,12260,61267,74096,11482,38739,46851,Total,2009
149,65 years and over,4181,45840,55438,3457,27511,33272,Total,2009
154,Total,82727,51148,61643,73263,32922,39677,Total,2008
155,18 to 24 years,10430,17271,20815,9665,14245,17168,Total,2008
156,25 to 34 years,18530,42025,50648,15517,31511,37977,Total,2008
157,35 to 44 years,18665,59620,71853,15970,37900,45677,Total,2008
158,45 to 54 years,18816,64081,77229,17450,38341,46208,Total,2008
159,55 to 64 years,12107,63071,76012,11229,37875,45646,Total,2008
160,65 years and over,4179,45551,54897,3432,24976,30101,Total,2008
165,Total,82933,50110,62712,72805,32899,41172,Total,2007
166,18 to 24 years,10717,17391,21764,9502,14094,17638,Total,2007
167,25 to 34 years,18281,41523,51965,15496,32431,40587,Total,2007
168,35 to 44 years,19108,58886,73694,16417,37172,46520,Total,2007
169,45 to 54 years,18996,61498,76963,17201,39529,49470,Total,2007
170,55 to 64 years,11895,61469,76927,10890,35829,44839,Total,2007
171,65 years and over,3936,47187,59053,3300,23747,29719,Total,2007
176,Total,82310,49647,63894,72129,32015,41202,Total,2006
177,18 to 24 years,10653,17351,22330,9717,13538,17423,Total,2006
178,25 to 34 years,18393,40927,52672,15243,30952,39834,Total,2006
179,35 to 44 years,19430,58804,75679,16569,36688,47216,Total,2006
180,45 to 54 years,18745,62980,81053,17240,38224,49193,Total,2006
181,55 to 64 years,11375,59235,76234,10323,35855,46144,Total,2006
182,65 years and over,3714,40911,52651,3037,22669,29174,Total,2006
